number,speed,power
147,9.259,13.774
148,9.309,12.881
149,9.434,18.036
150,9.535,18.042
151,9.56,9.911
152,9.61,14.055
153,9.735,17.393
154,9.81,24.164
155,9.835,15.394
156,9.86,14.845
157,9.885,27.136
158,9.935,13.784
159,9.96,13.657
160,9.985,19.354
161,10.035,16.139
162,10.085,20.709
163,10.11,26.427
164,10.135,12.624
165,10.16,16.474
166,10.185,22.305
167,10.21,20.704
168,10.235,30.341
169,10.26,24.293
170,10.285,20.636
171,10.36,28.181
172,10.385,22.216
173,10.485,13.52
174,10.561,22.758
175,10.661,26.927
176,10.711,24.942
177,10.736,15.638
178,10.761,23.688
179,10.886,30.483
180,10.961,31.153
181,10.986,27.688
182,11.011,28.452
183,11.036,28.221
184,11.111,31.336
185,11.161,29.601
186,11.211,31.53
187,11.286,34.693
188,11.311,40.224
189,11.336,33.589
190,11.361,38.184
191,11.386,38.636
192,11.612,31.214
193,11.662,41.486
194,11.687,42.485
195,11.737,38.552
196,11.787,36.787
197,11.812,31.84
198,11.862,41.692
199,11.937,51.681
200,11.962,37.294
201,11.987,47.268
202,12.037,39.584
203,12.162,41.599
204,12.187,45.056
205,12.212,43.198
206,12.262,46.136
207,12.287,43.454
208,12.337,47.282
209,12.362,40.519
210,12.387,37.159
211,12.412,52.952
212,12.462,44.745
213,12.487,44.735
214,12.538,44.801
215,12.563,42.336
216,12.588,54.079
217,12.613,51.471
218,12.663,44.88
219,12.713,51.149
220,12.738,47.344
221,12.788,50.658
222,12.863,47.787
223,12.888,53.954
224,12.963,53.281
225,12.988,49.796
226,13.038,58.168
227,13.263,62.83
228,13.313,59.735
229,13.338,64.541
230,13.388,62.315
231,13.438,65.605
232,13.539,65.889
233,13.564,63.383
234,13.714,61.127
235,13.739,63.265
236,13.939,63.91
237,13.964,68.232
238,13.989,65.596
239,14.014,69.24
240,14.039,66.55
241,14.139,66.596
242,14.189,67.263
243,14.264,67.512
244,14.289,68.616
245,14.339,65.642
246,14.364,76.551
247,14.389,64.221
248,14.489,71.763
249,14.54,73.652
250,14.59,67.269
251,14.615,72.016
252,14.64,79.586
253,14.715,78.499
254,14.74,69.699
255,14.765,82.147
256,14.84,75.466
257,14.865,72.135
258,15.065,73.911
259,15.115,78.284
260,15.14,77.725
261,15.165,69.248
262,15.19,77.164
263,15.215,80.183
264,15.24,71.787
265,15.265,80.39
266,15.315,87.23
267,15.34,78.987
268,15.415,83.251
269,15.465,80.418
270,15.49,78.528
271,15.541,85.891
272,15.591,81.239
273,15.666,86.288
274,15.716,87.285
275,15.741,79.72
276,15.766,84.133
277,15.816,87.741
278,15.916,78.991
279,15.991,78.994
280,16.041,78.632
281,16.066,86.611
282,16.091,90.412
283,16.191,85.173
284,16.241,87.192
285,16.291,85.999
286,16.366,88.042
287,16.441,89.134
288,16.466,96.592
289,16.567,87.663
290,16.592,92.997
291,16.617,97.274
292,16.667,92.753
293,16.692,89.527
294,16.717,93.698
295,16.792,90.171
296,16.842,97.532
297,16.917,90.761
298,16.942,94.925
299,16.967,95.593
300,16.992,91.808
301,17.017,91.491
302,17.067,94.093
303,17.117,91.27
304,17.142,95.622
305,17.267,100.831
306,17.317,96.97
307,17.342,89.613
308,17.367,91.206
309,17.417,95.396
310,17.442,85.533
311,17.467,100.889
312,17.492,91.125
313,17.518,87.731
314,17.543,90.435
315,17.568,89.569
316,17.593,90.142
317,17.618,93.38
318,17.643,102.322
319,17.793,100.429
320,17.818,93.105
321,17.843,91.27
322,17.893,90.546
323,18.043,91.49
324,18.068,97.427
325,18.093,89.789
326,18.218,87.98
327,18.268,90.751
328,18.318,99.09
329,18.368,98.54
330,18.393,98.855
331,18.418,99.214
332,18.519,93.769
333,18.544,104.161
334,18.594,100.485
335,18.619,99.242
336,18.694,96.058
337,18.744,96.642
338,18.769,102.44
339,18.794,96.054
340,18.844,92.655
341,18.869,87.986
342,18.919,89.047
343,18.944,98.078
344,18.994,100.142
345,19.044,102.364
346,19.069,100.287
347,19.094,97.148
348,19.169,103.387
349,19.194,100.428
350,19.269,96.725
351,19.444,100.372
352,19.545,98.272
353,19.57,94.85
354,19.595,92.203
355,19.62,91.501
356,19.645,92.461
357,19.67,96.544
358,19.695,97.173
359,19.72,103.629
360,19.77,92.61
361,19.795,94.78
362,19.82,94.071
363,19.845,104.188
364,19.895,94.489
365,19.945,99.472
366,19.97,98.79
367,20.045,99.697
368,20.12,89.078
369,20.145,99.029
370,20.17,96.963
371,20.22,101.507
372,20.27,95.012
373,20.295,107.584
374,20.32,100.699
375,20.345,104.258
376,20.47,101.27
377,20.521,94.98
378,20.571,103.405
379,20.646,112.362
380,20.671,99.537
381,20.771,96.341
382,20.796,94.216
383,20.871,108.485
384,21.046,99.103
385,21.071,96.348
386,21.121,101.212
387,21.321,98.682
388,21.396,88.544
389,21.421,101.721
390,21.446,100.937
391,21.471,97.671
392,21.496,89.713
393,21.622,103.433
394,21.672,106.208
395,21.722,97.797
396,21.822,103.268
397,21.847,103.922
398,21.922,104.052
399,22.022,104.516
400,22.072,99.46
401,22.147,102.281
402,22.222,96.65
403,22.247,93.931
404,22.272,93.567
405,22.297,101.19
406,22.322,100.206
407,22.347,97.803
408,22.422,99.357
409,22.472,103.306
410,22.497,109.932
411,22.523,97.256
412,22.623,100.558
413,22.673,100.698
414,22.723,93.964
415,22.773,102.544
416,22.798,98.067
417,22.823,101.342
418,22.873,100.549
419,23.023,101.308
420,23.123,101.654
421,23.223,102.462
422,23.248,104.655
423,23.273,113.556
424,23.298,96.337
425,23.323,98.279
426,23.348,108.167
427,23.373,104.977
428,23.423,97.523
429,23.473,94.867
430,23.498,93.527
431,23.549,98.066
432,23.574,101.12
433,23.599,100.311
434,23.624,102.644
435,23.699,91.88
436,23.724,96.986
437,23.799,94.671
438,23.824,97.334
439,23.849,100.322
440,23.899,100.089
441,23.949,95.364
442,23.974,94.27
443,24.024,105.992
444,24.049,93.524
445,24.174,95.869
446,24.199,101.419
447,24.249,103.7
448,24.299,93.694
449,24.349,93.078
450,24.374,98.223
451,24.399,95.117
